domain	ageusia	anosmia	chest pain	cough	coughing	diarrea	difficulty breathing	dsypnea	fever	loss smell	loss taste	rhinorrhea	running nose	runny nose	shortness of breath	sore throat	throat pain	avg position	nb missing	% presence	weighted avg position	honcode	type
patient.info	30	30	30	30	30	30	30	30	30	30	21	30	30	30	30	30	30	29.5	16	6%	30.0		
www.cff.org	30	30	30	30	21	30	30	30	30	30	30	30	30	30	30	30	30	29.5	16	6%	30.0		
dictionary.cambridge.org	30	30	30	30	30	22	30	30	30	30	30	30	30	30	30	30	30	29.5	16	6%	30.0		
pediatricassociatesnc.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	22	30	29.5	16	6%	30.0		
www.laent.com	30	22	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.5	16	6%	30.0		
www.nationaljewish.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	22	30	30	29.5	16	6%	30.0		
newsinhealth.nih.gov	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	29.6	16	6%	30.0		
www.biospace.com	30	30	30	30	30	30	30	30	30	23	30	30	30	30	30	30	30	29.6	16	6%	30.0		
www.cancer.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	30	30	29.6	16	6%	30.0		
www.drugs.com	30	30	30	30	30	30	30	30	30	30	30	23	30	30	30	30	30	29.6	16	6%	30.0		
www.minnpost.com	30	30	30	30	30	30	30	30	30	30	23	30	30	30	30	30	30	29.6	16	6%	30.0		
www.muhealth.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	30	29.6	16	6%	30.0		
www.theraflu.com	30	30	30	30	30	30	30	30	30	30	30	30	30	23	30	30	30	29.6	16	6%	30.0		
www.tylenol.ca	30	30	30	30	30	30	30	30	30	30	30	30	23	30	30	30	30	29.6	16	6%	30.0		
www.franciscanhealth.org	30	30	30	30	30	30	30	30	30	30	30	30	30	24	30	30	30	29.6	16	6%	30.0		
www.thelancet.com	30	24	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	16	6%	30.0		
