domain	ageusia coronavirus	ageusia covid	anosmia covid	chest pain coronavirus	chest pain covid	cough coronavirus	cough covid	coughing coronavirus	coughing covid	diarrea coronavirus	diarrea covid	diarrhea coronavirus	diarrhea covid	difficulty breathing coronavirus	difficulty breathing covid	dsypnea coronavirus	dsypnea covid	fever coronavirus	fever covid	loss smell coronavirus	loss smell covid	loss taste coronavirus	loss taste covid	rhinorrhea coronavirus	running nose coronavirus	running nose covid	runny nose coronavirus	runny nose covid	shortness of breath coronavirus	sore throat coronavirus	sore throat covid	soreness coronavirus	soreness covid	thermometer coronavirus	thermometer covid	throat pain coronavirus	throat pain covid	total	missing	top 20 % present	weighted avg rank	honcode	type
jamanetwork.com	30	30	12	30	30	30	30	30	30	30	30	30	30	30	30	30	14	30	30	30	30	30	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.5	34	8%	29.9		
academic.oup.com	10	15	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.6	34	8%	29.9		
www.bbc.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	18	12	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.6	34	8%	29.9		
www.minnpost.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	21	14	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.6	34	8%	29.9		
www.cnn.com	30	30	30	30	30	30	30	30	30	30	30	30	30	21	25	30	30	30	30	30	30	20	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.0	33	11%	29.9		
health.clevelandclinic.org	30	30	30	30	30	30	30	30	30	30	30	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	18	30	30	28.7	34	8%	29.9		
khn.org	30	30	30	30	30	30	30	30	30	14	16	30	30	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.8	34	8%	29.9		
www.cathlabdigest.com	30	30	30	30	30	17	16	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.8	34	8%	29.9		
www.sciencemag.org	30	30	30	16	12	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	28.8	34	8%	29.9		
www.dispatchhealth.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	14	17	30	30	30	30	20	30	28.9	34	8%	29.9		
www.sciencedaily.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	15	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.9	34	8%	29.9		
www.scripps.org	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	1	1	30	30	28.4	35	5%	29.9		
www.adventhealth.com	30	30	30	30	30	30	30	18	30	30	30	30	30	30	30	30	30	13	24	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	34	8%	29.9		
journals.lww.com	4	4	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.6	35	5%	29.9		
www.fda.gov	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	6	2	30	30	28.6	35	5%	29.9		
www.practicalpainmanagement.com	30	30	30	4	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.6	35	5%	29.9		
www.spandidos-publications.com	5	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.6	35	5%	29.9		
www.avera.org	30	30	30	30	30	30	30	30	30	6	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.7	35	5%	29.9		
www.cureus.com	6	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.7	35	5%	29.9		
www.nationalgeographic.com	30	30	23	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	21	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	34	8%	29.9		
infomeddnews.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	6	30	30	28.7	35	5%	29.9		
