domain	agueusie	anosmie	chiasse	courbature	diarrhée	douleur thoracique	douleur thorax	dyspnée	essouflement	fièvre	gene respiratoire	gêne respiratoire	mal thoracique	mal à respirer	maux de gorge	oppression thoracique	perte de gout	perte de goût	perte odorat	rhinorrhée	thermomètre	tousser	toux	écoulement nasale	éruption cutanée	avg rank	top 20 missing	top 20 % present	weighted avg rank	honcode	type
www.livi.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	29.6	24	4%	30.0		
www.merckmanuals.com	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	24	4%	30.0		
www.similasan.swiss	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	30	29.6	24	4%	30.0		
conjugueur.reverso.net	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	21	30	30	30	29.6	24	4%	30.0		
palli-science.com	30	30	30	30	30	30	30	21	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	24	4%	30.0		
rhiniteallergique.be	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	21	30	30	30	30	30	29.6	24	4%	30.0		
www.estelledaves.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	21	30	29.6	24	4%	30.0		
www.fitnessboutique.fr	30	30	30	21	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	24	4%	30.0		
www.migros-impuls.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	21	30	30	29.6	24	4%	30.0		
www.risques-pme.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	21	30	30	30	30	30	30	30	30	30	30	30	29.6	24	4%	30.0		
www.elsevier.com	30	30	30	30	30	30	30	22	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.7	24	4%	30.0		
www.larevuedupraticien.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	22	30	30	30	30	30	29.7	24	4%	30.0		
www.ricola.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	22	30	30	29.7	24	4%	30.0		
www.ghi.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	30	30	30	29.7	24	4%	30.0		
www.lalibre.be	30	30	30	30	30	30	30	30	30	30	30	30	30	23	30	30	30	30	30	30	30	30	30	30	30	29.7	24	4%	30.0		
www.who.int	30	30	30	30	23	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.7	24	4%	30.0		
www.tellmed.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	24	30	30	29.8	24	4%	30.0		
www.toutelaconjugaison.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	24	30	30	30	29.8	24	4%	30.0		
