domain	agueusie	anosmie	chiasse	courbature	diarrhée	douleur thoracique	douleur thorax	dyspnée	essouflement	fièvre	gene respiratoire	gêne respiratoire	mal thoracique	mal à respirer	maux de gorge	oppression thoracique	perte de gout	perte de goût	perte odorat	rhinorrhée	thermomètre	tousser	toux	écoulement nasale	éruption cutanée	avg rank	top 20 missing	top 20 % present	weighted avg rank	honcode	type
www.catie.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	28.9	24	4%	30.0		
www.fitnesspark.fr	30	30	30	3	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.9	24	4%	30.0		
www.mediprostore.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	30	30	30	30	28.9	24	4%	30.0		
bodyhit.fr	30	30	30	4	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.0	24	4%	30.0		
cnrtl.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	4	30	30	30	29.0	24	4%	30.0		
lasante.net	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	4	30	30	30	30	30	29.0	24	4%	30.0		
www.pharma-gdd.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	4	30	30	30	30	29.0	24	4%	30.0		
www.msf.ch	30	30	30	30	24	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	30	29.5	23	8%	30.0		
dictionnaire.sensagent.leparisien.fr	30	30	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.0	24	4%	30.0		
www.weleda.be	30	30	30	5	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.0	24	4%	30.0		
www.mediamarkt.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	6	30	30	30	30	29.0	24	4%	30.0		
www.salveo.ch	30	30	30	30	30	30	30	30	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.0	24	4%	30.0		
www.galaxus.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	30	30	30	30	29.1	24	4%	30.0		
commentconjuguer.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	29.1	24	4%	30.0		
medicalforum.ch	30	30	30	30	30	30	30	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	24	4%	30.0		
wikimedi.ca	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	24	4%	30.0		
www.brauntherms.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	30	29.1	24	4%	30.0		
www.synonymo.fr	30	30	8	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.1	24	4%	30.0		
www.bioflorin.ch	30	30	30	30	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	24	4%	30.0		
www.cordial.fr	30	30	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	24	4%	30.0		
www.dentaly.org	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	24	4%	30.0		
www.neocitran.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	30	29.2	24	4%	30.0		
www.centredentaireduvertgalant.com	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	24	4%	30.0		
www.medtronic.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	30	29.2	24	4%	30.0		
www.notrefamille.com	30	30	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	24	4%	30.0		
www.uhn.ca	30	30	30	30	30	30	30	30	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	24	4%	30.0		
icardio.ca	30	30	30	30	30	30	30	30	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.2	24	4%	30.0		
