domain	agueusie	anosmie	chiasse	courbature	diarrhée	douleur thoracique	douleur thorax	dyspnée	essouflement	fièvre	gene respiratoire	gêne respiratoire	mal thoracique	mal à respirer	maux de gorge	oppression thoracique	perte de gout	perte de goût	perte odorat	rhinorrhée	thermomètre	tousser	toux	écoulement nasale	éruption cutanée	total	missing
www.femmeactuelle.fr	30	17	30	30	4	30	20	30	5	30	5	5	19	30	30	30	30	15	30	30	30	30	30	30	30	24	17
www.fitnessboutique.fr	30	30	30	21	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.64	24
www.fitnesspark.fr	30	30	30	3	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.92	24
www.franceinter.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	30	29.56	24
www.futura-sciences.com	30	9	30	16	30	30	30	30	9	30	30	30	30	30	30	30	30	30	14	30	5	30	30	19	30	25.68	19
www.galaxus.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	30	30	30	30	29.08	24
www.gastro.medline.ch	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.4	24
www.ghi.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	23	30	30	30	29.72	24
www.groupeproxim.ca	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	2	28.88	24
www.havea.com	30	30	30	30	30	30	30	30	30	30	17	16	30	11	30	30	30	30	30	30	30	30	30	30	30	28.16	22
www.heidi.news	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	4	30	30	30	30	30	30	30	27.52	22
www.hirslanden.ch	30	30	30	30	17	30	30	30	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.84	23
www.hopitalpourenfants.com	30	30	30	30	30	30	30	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	29.6	24
www.hsnsudbury.ca	30	30	30	30	30	16	30	30	30	30	30	30	21	30	30	13	30	30	30	30	30	30	30	30	30	28.4	22
www.hug-ge.ch	30	30	30	30	11	30	30	11	30	30	30	30	30	30	30	20	30	30	30	9	30	30	14	11	30	25.84	19
www.hug.ch	30	30	30	30	18	30	30	30	30	30	30	30	30	30	19	30	30	30	30	30	30	13	15	30	30	27.8	21
www.humanitas.net	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	30	30	28.88	23
www.inesss.qc.ca	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	14	18	30	30	30	30	30	30	27.88	21
www.jumbo.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	29.32	24
www.karger.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	29.48	24
www.ks-mag.com	30	30	30	30	30	30	30	4	13	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.28	23
www.lalanguefrancaise.com	30	30	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	30	30	30	28.48	23
www.lalibre.be	30	30	30	30	30	30	30	30	30	30	30	30	30	23	30	30	30	30	30	30	30	30	30	30	30	29.72	24
www.lamutuellegenerale.fr	30	30	30	30	30	30	30	30	1	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.84	24
www.landi.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	30	30	30	30	29.52	24
www.larevuedupraticien.fr	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	22	30	30	30	30	30	29.68	24
www.laroche-posay.be	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	29.48	24
www.larousse.fr	11	30	2	22	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	5	30	30	30	26.4	20
www.lehning.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	30	30	30	30	30	30	30	30	30	29.48	24
www.lematin.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	29.32	24
www.lemonde.fr	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	30	30	30	30	30	30	28.48	23
