domain	agueusie coronavirus	agueusie covid	anosmie coronavirus	anosmie covid	chiasse coronavirus	chiasse covid	courbature coronavirus	courbature covid	diarrhée covid	douleur thoracique covid	douleur thorax coronavirus	douleur thorax covid	dyspnée coronavirus	dyspnée covid	essouflement covid	fièvre coronavirus	fièvre covid	gene respiratoire coronavirus	gene respiratoire covid	gêne respiratoire coronavirus	mal de gorge coronavirus	mal de gorge covid	mal thoracique coronavirus	mal thoracique covid	mal à respirer coronavirus	mal à respirer covid	maux de gorge coronavirus	maux de gorge covid	nez qui coule coronavirus	nez qui coule covid	oppression thoracique covid	perte de gout coronavirus	perte de gout covid	perte de goût coronavirus	perte de goût covid	perte odorat coronavirus	rhinorrhée coronavirus	rhinorrhée covid	thermomètre coronavirus	thermomètre covid	tousse coronavirus	tousse covid	tousser coronavirus	tousser covid	toux coronavirus	toux covid	écoulement nasale coronavirus	écoulement nasale covid	éruption cutanée coronavirus	éruption cutanée covid	avg position	nb missing	% presence	weighted avg position	honcode	type
www.swica.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	11	30	30	30	30	12	11	30	30	30	30	30	30	30	30	30	30	30	30	19	30	19	18	6	6	30	30	30	30	27.0	41	18%	29.5		
www.ag.ch	30	30	30	30	30	30	10	15	17	30	30	30	30	30	16	30	30	13	15	15	30	30	30	30	12	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.2	41	18%	29.5		
theconversation.com	15	14	7	6	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	14	15	30	7	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.1	42	16%	29.5		
www.unige.ch	12	8	30	17	30	30	30	30	30	30	30	30	10	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	18	6	30	30	30	30	30	30	30	30	13	30	30	30	27.1	42	16%	29.5		
www.pourquoidocteur.fr	30	30	30	30	13	30	30	30	30	19	11	11	30	30	30	30	30	30	30	30	30	30	8	11	30	30	30	30	30	30	30	30	30	30	30	30	15	15	30	30	30	30	30	30	30	30	30	30	30	30	27.3	42	16%	29.6		
www.lemonde.fr	30	30	15	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	17	30	30	30	30	30	30	12	30	19	30	18	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.6	42	16%	29.6		
www.laliberte.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	6	5	5	4	4	5	30	30	30	30	27.0	44	12%	29.6		
www.lfm.ch	30	30	12	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	2	4	1	4	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	27.0	44	12%	29.6		
www.hug-ge.ch	30	30	30	30	6	11	30	30	30	30	30	30	2	1	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	10	30	30	30	30	30	30	30	30	30	30	30	30	27.2	44	12%	29.7		
www.linternaute.com	30	30	30	30	30	30	16	12	30	30	30	30	30	30	14	30	30	30	30	30	30	10	30	30	30	30	30	14	30	17	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	27.8	43	14%	29.7		
www.cnews.fr	30	30	30	30	30	30	30	30	30	16	15	16	30	30	30	30	30	30	30	30	30	30	14	14	30	30	30	30	30	30	7	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.0	44	12%	29.8		
www.swissdocu.ch	30	12	30	11	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	11	2	2	27.8	45	10%	29.8		
www.h-ju.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	9	30	30	30	16	10	9	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.1	45	10%	29.8		
www.leparisien.fr	30	30	30	30	9	6	30	30	10	30	30	30	30	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	9	30	30	30	30	30	30	30	30	30	30	30	28.1	45	10%	29.8		
www.msdmanuals.com	30	30	30	30	30	30	30	30	30	30	30	30	4	9	30	30	30	11	19	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.1	45	10%	29.8		
www.topsante.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	20	30	30	30	30	30	30	30	30	30	30	30	17	30	14	30	30	30	30	30	30	30	19	30	30	17	30	30	30	30	30	28.5	44	12%	29.8		
www.radiolac.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	12	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	7	18	11	30	30	30	30	30	30	30	30	30	30	30	28.4	45	10%	29.8		
www.youtube.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	11	8	30	30	30	30	19	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.4	45	10%	29.8		
www.santelog.com	30	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	16	12	12	12	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.4	45	10%	29.8		
www.sggg.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	30	30	30	13	12	13	15	30	30	30	30	30	30	28.4	45	10%	29.8		
www.ne.ch	30	18	30	30	30	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	30	30	30	30	30	30	19	30	28.5	45	10%	29.8		
www.concordia.ch	30	30	30	30	30	30	30	13	14	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	1	1	28.2	46	8%	29.9		
www.inesss.qc.ca	19	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	17	30	14	30	30	30	30	30	30	30	30	30	30	30	30	30	17	15	28.6	45	10%	29.9		
www.bluewin.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	15	30	30	18	30	30	30	30	30	30	30	30	30	30	30	30	5	4	28.4	46	8%	29.9		
www.franceinter.fr	30	30	20	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	20	30	19	17	12	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.8	45	10%	29.9		
www.rfj.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10	16	30	30	30	30	30	30	8	11	30	30	30	30	30	30	30	30	30	30	30	30	28.5	46	8%	29.9		
factuel.afp.com	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	19	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	8	9	30	30	28.6	46	8%	29.9		
www.who.int	30	30	30	30	18	30	30	30	30	30	30	30	7	18	30	30	30	30	30	30	10	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.7	46	8%	29.9		
www.hsnsudbury.ca	30	30	30	30	30	30	30	30	30	15	30	14	30	30	30	30	30	30	30	30	30	30	30	13	30	30	30	30	30	30	15	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.7	46	8%	29.9		
cdhf.ca	30	30	30	30	3	2	30	30	3	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.4	47	6%	29.9		
www.ch.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	11	19	30	30	30	30	30	30	30	30	30	16	30	16	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.8	46	8%	29.9		
www.synlab.ch	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	3	7	3	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	28.5	47	6%	29.9		
